Comment,Sentiment
Vai main to humesha tumra video rat main sone ke time sare 11 baje ke around dekhta hu aur aj bhi light off krke maza aata hain but bro you also be very careful thoda hanuman ji ko sath main rakhna aur I don't know apke back pe kiska scratch hain kaise Hua?please thoda ho saale to batana❤,Positive
Dogs can see ghosts,Neutral
Bhai 1st case hi drawna lga sbse 😅,Neutral
Kaha gayab ho bro..😂,Neutral
Bhaiii plz yrr kam se kam.month me ek video to dal yrrr hadd he bhai,Positive
Next part ❤,Neutral
Bhai sun na wo sab thike hai par Bc wo Photos maat dala kar Bich bich mein Gand faat ke 4 ho Jati hai😢,Neutral
SARE HI OLD VIDEO UPLOAD KAR DIYE IK BE NEW CLIP NAHI HAI,Neutral
"Video feels fresh, like an OG episode of the series and not a filler. Genuinely felt an eerie vibe while watching this video..lagta h ab comeback hone wala h 
😎",Positive
11:32,Neutral
"30:57 but how do you got the scratches?
Please talk about that once
31:30 Definitely ❤
So happy to see you again and definitely you will get more subscribers because your content area really awesome. We love to you to see you again",Positive
❤❤❤❤❤❤,Neutral
It’s a nightmare fuel bro…10/10 Coverage from background till end…be consistent and you will surly achieve your milestone…All The Very Best…Thanks For Content,Neutral
"Really love yours contant ❤
Eagerly waiting for next video's 📷",Positive
Brother itna late video way,Neutral
Bhai ki video agai kaju katli baatni padegi ❤❤❤❤❤❤❤,Neutral
Great video keep it up ❤️❤️🤗,Positive
❤,Neutral
31:33  true bro ❤ I never get disappointed by you 😊,Positive
30:40 😳🥶insane,Negative
27:41  please don't stop this series ❤ this is really so much interesting series for me as well as for all those are watching this series from starting 😊 so please don't stop this atleast try to give 1 vid a week .ik it's difficult but please try to❤ lots of love to you 🫡,Positive
Video na ayegi dobara 😂,Neutral
Bro nice video but pls upload more frequently,Positive
Jai jagannath bahi,Neutral
